Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),"Actual Airspeed (m/s), Horisontal Distance (m)"
0.0,40.0,15.450080901719446,19.611,20.0,14.88672924041748,55.58549011214376
1.0019454956054688,40.0,15.559445816906958,19.906,20.0,16.41997718811035,55.45698968102957
2.0037014484405518,40.0,11.795274280934485,21.21,20.0,17.608144760131836,51.287298757462686
3.0049967765808105,40.0,9.812344443204331,22.707,20.0,16.864927291870117,49.16261821677553
4.0069496631622314,40.0,8.334821058083072,23.319,20.0,16.419485092163086,48.048668396917215
5.007962465286255,40.0,5.095490216665574,23.131,20.0,16.590063095092773,45.19021307629983
6.009024143218994,40.0,4.844900778027323,22.534,20.0,15.627081871032715,45.14148879679441
7.011159658432007,40.0,7.5965679461381725,21.837,20.0,15.860893249511719,47.91336710409056
8.013071298599243,40.0,6.596019125380778,21.151,20.0,17.014278411865234,46.904372997971635
9.014950037002563,40.0,2.6824654462838566,21.218,18.682465446283857,17.903724670410156,42.649952562379426
10.01620602607727,30.0,10.341800762075714,21.724,20.0,17.167613983154297,40.07764959085067
11.017985343933105,30.0,8.2990311541326,21.771,20.0,17.846481323242188,38.27292309642967
12.01996374130249,30.0,2.5323040604936153,21.997,18.532304060493615,18.786876678466797,32.383270364254585
13.021618843078613,30.0,5.173553388684496,22.245,20.0,17.468074798583984,35.0206356593743
14.022988557815552,30.0,1.5891525045509525,21.884,17.589152504550952,17.521347045898438,31.834863985193618
15.02510404586792,30.0,-2.7159292021245527,21.503,14.0,18.837528228759766,27.57870929364679
16.027015924453735,30.0,-4.287394707452293,21.434,14.0,16.461048126220703,25.768866562779827
17.029377460479736,30.0,-6.550843042031982,20.607,14.0,15.645212173461914,24.16271816330729
18.031004190444946,30.0,-6.0155250188587175,19.497,14.0,16.007450103759766,24.873778967438625
19.032983779907227,30.0,-2.6344721170636234,18.93,14.0,16.26258659362793,27.75096224118667
20.034965991973877,30.0,-3.5526782909012162,18.665,14.0,16.998266220092773,26.630229074954798
21.03596806526184,30.0,-6.862203771839681,19.232,14.0,18.289072036743164,22.68070402998703
22.037003993988037,30.0,-12.475815914754897,20.21,14.0,17.38002586364746,16.415286529742872
23.03898334503174,30.0,-14.87130732882364,20.538,14.0,16.061336517333984,14.691047543960416
24.04149889945984,30.0,-18.104372723878058,20.05,14.0,15.472796440124512,12.6824450439344
25.042983531951904,30.0,-10.5500182552551,19.447,14.0,15.546265602111816,20.03845305583517
26.04497790336609,30.0,-12.286965776391888,18.819,14.0,15.912704467773438,18.362454885083103
27.04696822166443,30.0,-12.36451219768756,18.647,14.0,16.105382919311523,17.81262086346394
28.04874062538147,30.0,-12.880933434646092,18.784,14.0,15.9601469039917,16.972504619796634
29.050143003463745,30.0,-15.82479761604232,18.947,14.0,15.669353485107422,13.962187852416234
30.051842212677002,30.0,-15.981458099683978,18.985,14.0,15.428354263305664,13.968342099580607
31.05387234687805,30.0,-12.129838958625918,18.948,14.0,15.355698585510254,17.908396261101775
32.05598044395447,30.0,-11.629396683693788,18.885,14.0,15.304478645324707,18.43372087249562
33.05697178840637,30.0,-13.204769068335281,18.873,14.0,15.25736141204834,16.808371665570327
34.05897402763367,30.0,-12.669009179402899,18.912,14.0,15.212175369262695,17.28950744884368
35.05997562408447,30.0,-14.482044700535083,18.977,14.0,15.121806144714355,15.440419413869277
36.061981201171875,30.0,-13.69068905716668,19.036,14.0,15.003947257995605,16.242151841120766
37.06397747993469,30.0,-7.387381202936268,19.068,14.0,14.935513496398926,22.58632154338816
38.06521487236023,30.0,-8.420104359576008,19.099,14.0,14.873408317565918,21.553154730841385
39.06695079803467,30.0,-7.418351978837563,19.128,14.0,14.814056396484375,22.5577056535382
40.06896924972534,30.0,-8.595076723823887,19.171,14.0,14.740405082702637,21.367385508269045
41.07097029685974,30.0,-7.451813917253425,19.224,14.0,14.682679176330566,22.504147187177885
42.07272696495056,30.0,-6.139880323594941,19.28,14.0,14.625277519226074,23.816020804751826
43.07399106025696,30.0,-2.09618284532646,19.314,14.0,14.590194702148438,27.88087975300373
44.07496976852417,30.0,-0.7229092770196246,19.345,15.277090722980375,14.510948181152344,29.257125152714913
45.0760498046875,30.0,-2.274790203082876,19.46,14.0,16.071977615356445,27.646610701550184
46.07797598838806,30.0,-3.124466029903477,20.31,14.0,15.417754173278809,26.254634375245303
47.080008029937744,30.0,-3.1719028821052575,20.443,14.0,13.361404418945312,26.729278440825748
48.08210611343384,30.0,3.467187040808838,19.886,19.467187040808838,13.545402526855469,33.79321146953161
49.084184646606445,30.0,4.770915955999186,19.261,20.0,15.819597244262695,35.112440408196626
50.085981607437134,30.0,1.0014251825576856,20.258,17.001425182557686,17.769046783447266,30.375072680566902
51.087992906570435,30.0,-1.2163337850855669,22.047,14.783666214914433,16.145679473876953,27.46876837012549
52.08997368812561,30.0,-2.2373718613986107,22.377,14.0,13.128110885620117,27.503098028445116
53.09097504615784,30.0,2.2708974107348396,20.936,18.27089741073484,11.883882522583008,33.2030343898592
54.091957330703735,30.0,10.471503186771159,19.347,20.0,13.405454635620117,41.236231850119715
55.09398102760315,30.0,7.477156334681268,19.114,20.0,18.403844833374023,37.59354971180748
56.09544849395752,30.0,3.921987849233382,21.922,19.921987849233382,18.840410232543945,32.22061221708143
57.09700393676758,30.0,-1.8121551209439453,24.347,14.187844879056055,17.105220794677734,26.166395891022642
58.09898018836975,30.0,-3.5473073399574737,24.735,14.0,14.75904655456543,26.09738709079259
59.100234031677246,30.0,-3.2063505485028294,23.165,14.0,13.396332740783691,28.13530612823885
60.1019868850708,30.0,5.48254638232892,21.347,20.0,13.235567092895508,36.581260691426735
